"species","maxLat","minLat","EA_0.25_cells"
"Juniperus_formosana",35.63135,22.6114,22
"Juniperus_gamboana",16.59,15.54,6
"Juniperus_gracilior",19.025,18.77,4
"Juniperus_horizontalis",69.280556,42.4333,143
"Juniperus_indica",32.97,26.416668,37
"Juniperus_komarovii",34.87,29.21006,5
"Juniperus_monosperma",40.6991,20.61,184
"Juniperus_monticola",25.374166,19.03,19
"Juniperus_occidentalis",46.58,34.22,106
"Juniperus_osteosperma",43.52,31.9,101
"Juniperus_oxycedrus",47.9701,31.2585,165
"Juniperus_phoenicea",44.8292,20.07,142
"Juniperus_pinchotii",37.1314,23.25,69
"Juniperus_pingii",33.92,28.366667,16
"Juniperus_polycarpos",57.683237,37.11975,26
"Juniperus_procera",21.2,-10.75,46
"Juniperus_procumbens",35.631767,33.7748,4
"Juniperus_przewalskii",36.47,31.6961,9
"Juniperus_pseudosabina",49.625,35.03,24
"Juniperus_recurva",29.9,25.333332,28
"Juniperus_rigida",45.27,34.14,47
"Juniperus_sabina",50.4333,32.08,58
"Juniperus_saltillensis",25.4417,24.63,7
"Juniperus_saltuaria",34.589587,26.416667,58
"Juniperus_saxicola",20.02,19.983334,2
"Juniperus_scopulorum",54.83,27.95,73
"Juniperus_semiglobosa",42.366665,28.9,58
"Juniperus_squamata",35.63135,23.2208,83
"Juniperus_taxifolia",28.25,26.2,4
"Juniperus_thurifera",45.2864,31.1668,82
"Juniperus_tibetica",37.006943,27.7,101
"Juniperus_virginiana",45.43,28.553,169
"Keteleeria_davidiana",29.0223,22.1167,9
"Keteleeria_evelyniana",29.3,11.828611,11
"Keteleeria_fortunei",28.0527,22.39286,9
"Lagarostrobos_franklinii",-41.63333333,-43.2,17
"Larix_decidua",57.6553,42.1,101
"Larix_gmelinii",72,41.5536,15
"Larix_griffithii",29.9,27.35,13
"Larix_kaempferi",37.7333,33.4792,8
"Larix_laricina",68.333,40.3093,208
"Larix_occidentalis",53.71111,40.6707,45
"Larix_potaninii",36.92,27.8,14
"Lepidothamnus_fonkii",-40.183334,-54.5442,8
"Lepidothamnus_intermedius",-37.0424,-47.05,23
"Lepidothamnus_laxifolius",-42.4023,-44.0462,14
"Libocedrus_bidwillii",-39.183,-44.3753,41
"Libocedrus_plumosa",-35.374,-43.0364,4
"Libocedrus_yateensis",-20.95,-22.1128,2
"Manoao_colensoi",-39.4,-46.9625,22
"Metasequoia_glyptostroboides",30.52,30.17,2
"Microbiota_decussata",48.83764167,43.06666667,6
"Microcachrys_tetragona",-41.6667,-43.5,17
"Nageia_fleuryi",23.755,17.67,13
"Nageia_formosensis",23.133333,22,3
"Nageia_motleyi",4.35,-3.33,6
"Nageia_nagi",34.6846,19.75,13
"Nageia_wallichiana",22.04,-10.3417,63
"Neocallitropsis_pancheri",-21.1782,-22.6101,5
"Nothotsuga_longibracteata",27.988,24.9,6
"Papuacedrus_papuana",-0.707,-10.03,41
"Parasitaxus_usta",-20.5,-22.1688,5
"Pherosphaera_fitzgeraldii",49.3,-35.2833,9
"Pherosphaera_hookeriana",-33.5333,-90,14
"Phyllocladus_alpinus",-38.5403,-46.1613,51
"Phyllocladus_aspleniifolius",-40.8833,-43.5833,32
"Phyllocladus_hypophyllus",16.6,-9.77306,50
"Phyllocladus_toatoa",-36.17,-38.9791,6
"Phyllocladus_trichomanoides",-35.2567,-45.5,15
"Picea_abies",65.354,41.6407,123
"Picea_alcoquiana",37.05,35.17,8
"Picea_asperata",40.9,30.08,23
"Picea_brachytyla",30.9,25.6,13
"Picea_breweriana",42.7094,41.33333333,9
"Picea_chihuahuana",28.65,23.33333333,11
"Picea_crassifolia",39,34.226665,9
"Picea_engelmannii",52.9667,25.4453,45
"Picea_farreri",28.37731111,27.25663889,2
"Picea_glauca",68.65,44.28,24
"Picea_glehnii",46.35,35.4244,16
"Picea_jezoensis",56.04,34.099,36
"Picea_koraiensis",47,38.67,10
"Picea_koyamae",36.019167,35.46666664,6
"Picea_likiangensis",32.78333333,27.13333333,23
"Picea_mariana",67.38333,43.67,13
"Picea_martinezii",25.183,23.978611,2
"Picea_maximowiczii",35.982,35.34468,4
"Picea_mexicana",26.490833,24.968889,8
"Picea_meyeri",43.74666667,37.75,9
"Picea_morrisonicola",24.4206,23.2597,5
"Picea_neoveitchii",39.11211389,31.82369444,5
"Picea_obovata",51.90979722,46,12
"Picea_omorika",44.004,43.2831,3
"Picea_orientalis",41.876,40.58,9
"Picea_pungens",52.9667,33.4099,34
"Picea_purpurea",32.79222,29.53,12
"Picea_retroflexa",32.265516,30.05,7
"Picea_rubens",47.399,35.3,20
"Picea_schrenkiana",44.954,34.6583,10
"Picea_sitchensis",61.11,39.3575,62
"Picea_smithiana",36.26,34,13
"Picea_spinulosa",27.72,27.283333,6
"Picea_torano",36.858,33.7792,8
"Picea_wilsonii",37.842,31.67,8
"Pilgerodendron_uviferum",-39.60222222,-54.23,31
"Pinus_albicaulis",49.216667,37.7719,33
"Pinus_amamiana",30.51817,30.31936,2
"Pinus_aristata",40.182,35.889,15
"Pinus_arizonica",31.025,23.586,45
"Pinus_armandii",33.7003,22.92,19
"Pinus_attenuata",43.9481,31.9333,21
"Pinus_ayacahuite",28.968,14.37,36
"Pinus_balfouriana",41.361,36.3777,8
"Pinus_banksiana",64.68333,40.8806,113
"Pinus_bhutanica",28.08808,27.08,8
"Pinus_brutia",38.003,31.5994,14
"Pinus_bungeana",36.25957,30.79781,4
"Pinus_canariensis",28.746,27.73,4
"Pinus_caribaea",25.00866667,6.27,63
"Pinus_cembra",63.4514,44.0938,33
"Pinus_cembroides",31.9,18.8,68
"Pinus_chiapensis",20.0179825171642,15.51666,49
"Pinus_clausa",32.2371,26.0829,54
"Pinus_contorta",54.86667,31,70
"Pinus_cooperi",43.766984,15.072222,38
"Pinus_coulteri",37.9484,31.7,15
"Pinus_cubensis",21.856722,19.98,6
"Pinus_culminicola",32.4,23.866,18
"Pinus_dabeshanensis",38.912202,30.735298,2
"Pinus_dalatensis",17.904,12.05,5
"Pinus_densata",29.967,27.457,15
"Pinus_densiflora",37.7167,33.5292,30
"Pinus_devoniana",28.44,9.86389,36
"Pinus_discolor",34.865833,19.366667,33
"Pinus_douglasiana",23.106,16.25,6
"Pinus_durangensis",29.612,19.3083,16
"Pinus_echinata",39.76,30.4,84
"Pinus_edulis",40.76,30.48,25
"Pinus_elliottii",33.2855,24.6694,26
"Pinus_engelmannii",34.1014,20.2553,23
"Pinus_fenzeliana",26.75419167,18.83333333,25
"Pinus_flexilis",52,24.874,28
"Pinus_fragilissima",23.18,23.15,1
"Pinus_gerardiana",36.25,33.15,12
"Pinus_glabra",34.69,30.29167,36
"Pinus_greggii",25.533333,20.73,16
"Pinus_halepensis",48.72962,31.215435,75
"Pinus_hartwegii",25.383,14.47,33
"Pinus_heldreichii",42,38.153,6
"Pinus_henryi",33.583,22.3,8
"Pinus_herrerae",28.3764,17.6578,12
"Pinus_hwangshanensis",29.56741667,20.74,3
"Pinus_jaliscana",20.71310278,19.80156389,5
"Pinus_jeffreyi",42.678,30.98,16
"Pinus_johannis",27.16,22.01,17
"Pinus_kesiya",27.31,11.889,20
"Pinus_koraiensis",47.8517,40.9167,14
"Pinus_krempfii",12.18,12,3
"Pinus_kwangtungensis",39.73193,20.43,36
"Pinus_lambertiana",44.9085,30.9833,30
"Pinus_latteri",21.28139,17.61444444,5
"Pinus_lawsonii",20.083,16.233,13
"Pinus_leiophylla",34.23,16.25,37
"Pinus_longaeva",40.6,36.23333,15
"Pinus_luchuensis",28.29424,24.95,5
"Pinus_lumholtzii",28.508,19.945,11
"Pinus_luzmariae",23.6667,20.3567,5
"Pinus_massoniana",29.016666,23.1333,9
"Pinus_maximartinezii",21.38,21.333332,1
"Pinus_maximinoi",28.558,13.04,37
"Pinus_merkusii",15.52,-2.1,5
"Pinus_monophylla",42.095,29.283333,43
