"sp","d.tpos","d.tneg","d.fpos","d.fneg","global.count"
"Pinus_caribaea",77,72,4,14,10553
"Pinus_cembra",49,51,0,0,1702
"Pinus_cembroides",143,118,8,0,10416
"Pinus_chiapensis",124,107,8,13,6129
"Pinus_clausa",62,57,2,0,18248
"Pinus_contorta",82,68,7,1,15110
"Pinus_cooperi",84,70,2,4,12923
"Pinus_coulteri",18,32,0,0,7664
"Pinus_cubensis",6,13,0,0,7110
"Pinus_culminicola",56,56,5,0,11442
"Pinus_dabeshanensis",2,18,0,0,3222
"Pinus_dalatensis",8,13,0,0,5412
"Pinus_densata",16,17,0,0,3233
"Pinus_densiflora",57,67,1,0,5493
"Pinus_devoniana",45,47,5,1,12467
"Pinus_discolor",51,43,5,0,17003
"Pinus_douglasiana",7,12,0,0,4089
"Pinus_durangensis",17,17,1,0,14235
"Pinus_echinata",89,80,3,1,7962
"Pinus_edulis",28,30,3,0,13726
"Pinus_elliottii",27,31,2,0,10927
"Pinus_engelmannii",32,30,3,0,15991
"Pinus_fenzeliana",29,36,1,1,2937
"Pinus_flexilis",31,26,4,0,12416
"Pinus_fragilissima",4,13,0,0,858
"Pinus_gerardiana",15,19,0,0,36442
"Pinus_glabra",40,46,1,0,2534
"Pinus_greggii",48,56,2,3,15487
"Pinus_halepensis",140,142,5,8,23148
"Pinus_hartwegii",71,87,3,0,7674
"Pinus_heldreichii",8,18,0,0,18895
"Pinus_henryi",8,18,0,0,24211
"Pinus_herrerae",19,23,0,0,3459
"Pinus_hwangshanensis",3,20,0,0,658
"Pinus_jaliscana",5,12,1,0,12609
"Pinus_jeffreyi",18,18,0,0,4901
"Pinus_johannis",50,45,1,1,8197
"Pinus_kesiya",20,21,4,2,6439
"Pinus_koraiensis",19,33,1,0,3802
"Pinus_krempfii",8,12,0,0,1573
"Pinus_kwangtungensis",41,42,6,0,24789
"Pinus_lambertiana",38,44,0,0,6060
"Pinus_latteri",6,12,0,0,14982
"Pinus_lawsonii",18,25,1,0,4652
"Pinus_leiophylla",51,65,3,0,11220
"Pinus_longaeva",20,32,0,0,4248
"Pinus_luchuensis",5,13,0,0,2493
"Pinus_lumholtzii",16,17,0,0,4206
"Pinus_luzmariae",6,23,0,0,917
"Pinus_massoniana",56,58,2,2,2106
"Pinus_maximartinezii",9,23,0,0,794
"Pinus_maximinoi",44,45,2,4,16054
"Pinus_merkusii",5,12,1,0,14354
"Pinus_monophylla",52,55,5,0,8371
"Pinus_montezumae",48,62,5,0,11557
"Pinus_monticola",27,31,1,0,9703
"Pinus_morrisonicola",43,42,6,2,3076
"Pinus_mugo",52,50,3,0,9201
"Pinus_muricata",14,15,1,0,32380
"Pinus_nelsonii",52,59,0,0,789
"Pinus_nigra",20,33,1,0,13630
"Pinus_occidentalis",18,23,3,0,15281
"Pinus_oocarpa",101,102,11,19,12223
"Pinus_palustris",56,56,2,0,8608
"Pinus_parviflora",20,35,0,0,5498
"Pinus_patula",29,45,1,0,9465
"Pinus_peuce",5,17,0,0,2839
"Pinus_pinaster",110,107,6,0,21484
"Pinus_pinceana",25,30,1,1,6322
"Pinus_pinea",270,254,1,1,16672
"Pinus_ponderosa",64,52,9,0,18557
"Pinus_praetermissa",7,22,1,0,13107
"Pinus_pringlei",9,12,1,0,5955
"Pinus_pseudostrobus",66,64,3,1,13055
"Pinus_pumila",10,18,0,1,4212
"Pinus_pungens",11,17,0,0,14710
"Pinus_quadrifolia",13,14,1,0,13878
"Pinus_radiata",33,47,0,1,934
"Pinus_remota",11,17,1,0,4003
"Pinus_resinosa",192,155,16,2,9523
"Pinus_rigida",145,131,8,2,12590
"Pinus_roxburghii",7,13,0,0,24899
"Pinus_rzedowskii",17,26,0,0,1357
"Pinus_sabiniana",67,63,1,0,8494
"Pinus_serotina",120,100,2,2,5083
"Pinus_sibirica",29,30,5,0,54637
"Pinus_squamata",1,17,0,0,842
"Pinus_strobiformis",36,32,2,0,5258
"Pinus_strobus",200,160,23,5,33389
"Pinus_sylvestris",187,179,19,3,18172
"Pinus_tabuliformis",34,43,5,0,29282
"Pinus_taeda",223,194,8,0,15796
"Pinus_taiwanensis",54,56,3,0,688
"Pinus_tecunumanii",41,48,3,4,8848
"Pinus_teocote",95,74,2,0,10878
"Pinus_thunbergii",50,53,0,0,2466
"Pinus_torreyana",5,18,0,0,6547
"Pinus_tropicalis",9,13,0,0,7343
"Pinus_uncinata",85,81,4,1,12038
"Pinus_virginiana",232,164,13,0,16700
"Pinus_wallichiana",37,36,1,0,34508
"Pinus_wangii",3,12,0,0,6614
"Pinus_yunnanensis",25,34,0,0,26015
"Platycladus_orientalis",14,17,0,0,36936
"Podocarpus_acutifolius",15,15,0,0,713
"Podocarpus_affinis",4,5,0,0,4200
"Podocarpus_angustifolius",9,13,0,0,3200
"Podocarpus_archboldii",21,21,0,0,1623
"Podocarpus_bracteatus",11,14,0,0,1785
"Podocarpus_brasiliensis",6,13,0,0,9645
"Podocarpus_brassii",17,21,0,0,149
"Podocarpus_brevifolius",4,12,0,0,1611
"Podocarpus_capuronii",8,12,0,0,10648
"Podocarpus_celatus",17,24,1,0,20258
"Podocarpus_chingianus",2,17,0,0,1720
"Podocarpus_coriaceus",10,14,0,0,9620
"Podocarpus_costalis",4,13,0,0,1847
"Podocarpus_costaricensis",6,14,0,0,9856
"Podocarpus_crassigemmis",30,30,1,0,2002
"Podocarpus_cunninghamii",111,91,8,0,1707
"Podocarpus_decumbens",2,8,0,0,1122
"Podocarpus_deflexus",3,13,0,0,930
"Podocarpus_dispermus",4,7,0,0,8128
"Podocarpus_drouynianus",15,21,0,0,3323
"Podocarpus_ekmanii",8,14,0,0,9516
"Podocarpus_elatus",25,28,1,0,12425
"Podocarpus_elongatus",37,44,4,0,16549
"Podocarpus_fasciculus",35,32,4,1,5866
"Podocarpus_gibbsiae",4,13,0,0,39
"Podocarpus_glaucus",12,16,0,0,2292
"Podocarpus_gnidioides",6,7,0,0,533
"Podocarpus_grayae",13,13,1,0,14294
"Podocarpus_guatemalensis",42,38,2,0,15732
"Podocarpus_henkelii",8,12,0,0,1869
"Podocarpus_hispaniolensis",6,13,0,0,25226
"Podocarpus_insularis",6,7,0,0,4122
"Podocarpus_lambertii",15,23,3,0,6012
"Podocarpus_latifolius",22,23,1,0,10647
"Podocarpus_lawrencei",48,48,2,1,1560
"Podocarpus_ledermannii",2,8,0,0,670
"Podocarpus_longifoliolatus",4,8,0,0,931
"Podocarpus_lucienii",23,28,0,0,1694
"Podocarpus_macrophyllus",7,18,0,0,11914
"Podocarpus_madagascariensis",14,24,0,0,26946
"Podocarpus_magnifolius",13,12,1,0,12296
"Podocarpus_matudae",41,45,5,2,8426
"Podocarpus_milanjianus",61,69,2,4,7355
"Podocarpus_nakaii",40,47,2,2,1642
"Podocarpus_neriifolius",43,36,7,2,27149
"Podocarpus_nivalis",197,199,4,1,280
"Podocarpus_novae_caledoniae",19,21,0,0,3626
"Podocarpus_nubigenus",17,26,0,0,1347
"Podocarpus_oleifolius",67,65,7,0,8553
"Podocarpus_pallidus",1,5,0,0,1385
"Podocarpus_parlatorei",14,14,0,0,816
"Podocarpus_pilgeri",32,30,5,2,11445
"Podocarpus_polyspermus",4,7,0,0,835
"Podocarpus_polystachyus",18,24,1,0,12000
"Podocarpus_pseudobracteatus",12,15,0,0,777
"Podocarpus_purdieanus",4,13,0,0,2386
"Podocarpus_ramosii",5,12,0,0,679
"Podocarpus_rubens",14,14,1,0,10700
"Podocarpus_rumphii",8,8,0,0,29282
"Podocarpus_rusbyi",11,13,0,0,1299
"Podocarpus_salignus",38,36,1,0,2869
"Podocarpus_sellowii",8,13,0,0,10132
"Podocarpus_smithii",5,8,0,0,19366
"Podocarpus_spathoides",7,6,1,0,12354
"Podocarpus_spinulosus",121,111,2,2,5259
"Podocarpus_sprucei",13,24,0,0,366
"Podocarpus_subtropicalis",2,17,0,0,31640
"Podocarpus_sylvestris",7,7,0,0,1382
"Podocarpus_teysmannii",7,12,0,0,3694
"Podocarpus_totara",116,95,11,1,3983
"Podocarpus_transiens",9,12,0,0,6573
"Podocarpus_trinitensis",3,13,0,0,1260
"Podocarpus_urbanii",5,14,0,0,392
"Prumnopitys_andina",28,38,0,0,2357
"Prumnopitys_exigua",37,38,0,0,1131
"Prumnopitys_ferruginea",141,118,9,2,1061
"Prumnopitys_ferruginoides",10,15,0,0,1458
"Prumnopitys_harmsiana",14,26,0,0,2309
"Prumnopitys_ladei",5,7,0,0,2851
"Prumnopitys_montana",26,25,0,0,1522
"Prumnopitys_taxifolia",73,72,5,0,1308
"Pseudolarix_amabilis",4,17,0,0,4166
"Pseudotaxus_chienii",10,12,0,0,7420
"Pseudotsuga_japonica",5,18,0,0,641
"Pseudotsuga_macrocarpa",13,16,2,0,33160
"Pseudotsuga_menziesii",192,103,45,3,35520
"Pseudotsuga_sinensis",32,46,1,5,17953
"Retrophyllum_comptonii",21,21,0,0,1317
"Retrophyllum_minus",35,35,0,0,1599
"Retrophyllum_piresii",1,14,0,0,10917
"Retrophyllum_rospigliosii",26,36,0,1,2094
"Retrophyllum_vitiense",13,14,0,0,6278
"Saxegothaea_conspicua",45,51,0,0,7346
"Sciadopitys_verticillata",44,53,0,0,1950
"Sequoiadendron_giganteum",15,15,0,0,4891
"Sequoia_sempervirens",45,45,0,0,6103
"Sundacarpus_amarus",73,65,12,0,17141
"Taiwania_cryptomerioides",25,41,0,0,5574
"Taxodium_distichum",136,110,4,0,42481
"Taxodium_mucronatum",70,52,18,1,11498
"Taxus_baccata",86,79,8,0,27950
"Taxus_brevifolia",88,74,9,5,16827
"Taxus_canadensis",118,97,10,1,15486
"Taxus_contorta",6,12,0,0,542
"Taxus_cuspidata",14,17,0,0,5923
"Taxus_floridana",6,15,0,0,1782
"Taxus_globosa",29,45,0,0,5995
"Taxus_mairei",170,160,13,3,18130
"Taxus_wallichiana",38,39,1,0,12067
"Tetraclinis_articulata",27,34,1,0,21015
"Thuja_koraiensis",10,18,0,0,9231
"Thuja_occidentalis",131,108,13,0,10562
"Thuja_plicata",96,84,9,6,21875
"Thuja_standishii",16,18,0,0,4009
"Thujopsis_dolabrata",94,100,0,0,2610
"Torreya_californica",35,45,0,0,2593
"Torreya_fargesii",39,49,1,0,17638
"Torreya_grandis",50,59,2,0,11251
"Torreya_jackii",7,12,0,0,961
"Torreya_nucifera",13,17,0,0,2616
"Torreya_taxifolia",14,19,0,0,1118
"Tsuga_canadensis",28,31,0,0,11892
"Tsuga_caroliniana",23,33,0,0,4513
"Tsuga_chinensis",57,68,4,4,7645
"Tsuga_diversifolia",13,19,0,0,201
"Tsuga_dumosa",45,51,0,0,4277
"Tsuga_forrestii",16,17,0,0,6401
"Tsuga_heterophylla",85,78,6,0,25037
"Tsuga_mertensiana",72,68,5,6,26240
"Tsuga_sieboldii",34,35,0,0,1445
"Widdringtonia_cedarbergensis",6,12,0,0,2803
"Widdringtonia_nodiflora",13,23,1,0,14812
"Widdringtonia_schwarzii",13,24,0,0,3971
"Widdringtonia_whytei",10,12,0,0,1597
"Wollemia_nobilis",1,7,0,0,2
"Xanthocyparis_nootkatensis",416,273,23,18,15455
"Xanthocyparis_vietnamensis",7,12,0,0,5130
