sp,d.tpos,d.tneg,d.fpos,d.fneg,global.count,EA_0.25_cells
Butia_eriospatha,29,38,0,0,6286,24
Butia_exospadix,7,14,0,0,620,6
Butia_lallemantii,3,13,0,0,8692,3
Butia_leptospatha,1,13,0,0,3,1
Butia_marmorii,4,13,0,0,2311,4
Butia_microspadix,17,22,2,0,6151,12
Butia_noblickii,1,13,0,0,980,1
Butia_odorata,15,25,1,0,25537,12
Butia_paraguayensis,126,101,12,2,2502,72
Butia_purpurascens,9,13,0,0,1802,5
Butia_yatay,30,36,1,0,5687,22
Calamus_acanthochlamys,8,13,0,0,3242,6
Calamus_acanthospathus,4,13,0,0,14160,4
Calamus_acaulis,2,12,0,0,75,1
Calamus_acuminatus,36,33,3,0,3922,20
Calamus_altiscandens,1,7,0,0,1953,1
Calamus_amplijugus,24,25,0,0,3587,18
Calamus_anomalus,4,8,0,0,2741,2
Calamus_arborescens,3,13,0,0,21668,3
Calamus_aruensis,68,51,13,0,25086,59
Calamus_ashtonii,4,13,0,0,2311,4
Calamus_asperrimus,1,13,0,0,4,1
Calamus_australis,104,101,11,2,15331,44
Calamus_axillaris,1,13,0,0,401,1
Calamus_bachmaensis,1,13,0,0,3998,1
Calamus_bacularis,8,13,0,0,2477,7
Calamus_benkulensis,1,13,0,0,544,1
Calamus_bicolor,1,13,0,0,1487,1
Calamus_bimaniferus,2,12,0,0,8799,2
Calamus_blumei,53,58,3,0,5537,39
Calamus_bousigonii,5,13,0,0,20493,5
Calamus_brassii,3,8,0,0,5233,3
Calamus_brevifolius,2,8,0,0,477,2
Calamus_caesius,37,36,1,1,4005,29
Calamus_caryotoides,108,104,8,1,19613,34
Calamus_castaneus,2,13,0,0,5896,2
Calamus_centralis,5,12,0,0,6854,3
Calamus_ceratophorus,1,13,0,0,1162,1
Calamus_ciliaris,2,13,0,0,2876,2
Calamus_compsostachys,1,12,0,0,83,1
Calamus_comptus,13,13,0,0,4257,12
Calamus_congestiflorus,2,13,0,0,11033,2
Calamus_conirostris,32,32,5,0,4374,26
Calamus_conjugatus,2,13,0,0,503,1
Calamus_convallium,16,23,1,0,11324,14
Calamus_corrugatus,6,13,0,0,1724,6
Calamus_crassifolius,1,13,0,0,883,1
Calamus_crispus,1,12,0,0,5478,1
Calamus_cuthbertsonii,1,7,0,0,676,1
Calamus_dasyacanthus,3,7,0,0,2103,3
Calamus_deerratus,62,66,6,2,19849,51
Calamus_delicatulus,1,13,0,0,1850,1
Calamus_dianbaiensis,1,13,0,0,2464,1
Calamus_didymocarpus,3,7,0,0,3648,3
Calamus_diepenhorstii,12,13,0,0,3476,9
Calamus_dimorphacanthus,2,13,0,0,12750,2
Calamus_dioicus,1,12,0,0,12,1
Calamus_discolor,1,12,0,0,2787,1
Calamus_distentus,2,8,0,0,1903,2
Calamus_divaricatus,25,32,2,0,2829,18
Calamus_egregius,1,13,0,0,56,1
Calamus_elopurensis,15,24,0,0,5512,11
Calamus_equestris,1,8,0,0,526,1
Calamus_erectus,5,13,0,0,8937,4
Calamus_erinaceus,6,12,0,0,2846,6
Calamus_erioacanthus,11,12,0,0,2434,5
Calamus_essigii,7,7,0,0,2116,2
Calamus_exilis,1,13,0,0,211,1
Calamus_eximius,4,8,0,0,660,5
Calamus_fertilis,10,12,2,0,3470,9
Calamus_filipendulus,1,13,0,0,1297,1
Calamus_flabellatus,47,42,4,1,6330,32
Calamus_flagellum,3,13,0,0,2810,3
Calamus_formosanus,11,12,0,1,2682,8
Calamus_gibbsianus,31,36,1,1,1163,8
Calamus_gonospermus,22,23,2,0,3526,15
Calamus_gracilis,5,11,0,0,10992,5
Calamus_guruba,4,12,0,0,12279,4
Calamus_harmandii,1,12,0,0,6832,1
Calamus_henryanus,25,34,2,0,15685,24
Calamus_hepburnii,1,12,0,0,1233,1
Calamus_heteracanthus,14,13,2,0,13737,18
Calamus_hispidulus,13,21,1,0,1128,11
Calamus_humboldtianus,17,21,0,0,6683,11
Calamus_hypertrichosus,1,12,0,0,1599,1
Calamus_hypoleucus,1,13,0,0,3942,1
Calamus_insignis,7,11,1,0,15629,6
Calamus_javensis,121,112,8,8,4229,76
Calamus_karuensis,2,13,0,0,3204,2
Calamus_kiahii,10,13,0,0,3122,8
Calamus_klossii,4,8,0,0,752,4
Calamus_koordersianus,1,7,0,0,5422,1
Calamus_laevigatus,66,64,3,0,4007,46
Calamus_lambirensis,4,13,0,0,1132,3
Calamus_lateralis,1,13,0,0,8497,1
Calamus_latifolius,2,13,0,0,1106,2
Calamus_leloi,4,12,1,0,4119,4
Calamus_leptospadix,1,12,0,0,136,1
Calamus_leptostachys,1,8,0,0,947,1
Calamus_lobbianus,7,13,0,0,1269,4
Calamus_longipinna,16,13,2,0,8123,13
Calamus_longisetus,8,13,0,0,10025,4
Calamus_macrochlamys,13,14,1,3,5098,13
Calamus_macrorhynchus,9,13,0,0,16246,7
Calamus_macrosphaerion,1,7,0,0,2580,1
Calamus_maiadum,1,12,0,0,78,1
Calamus_manan,2,13,0,0,3278,2
Calamus_manillensis,3,13,0,0,2819,2
Calamus_marginatus,65,66,7,1,4078,43
Calamus_mattanensis,16,24,0,0,4126,11
Calamus_maturbongsii,1,7,0,0,360,1
Calamus_megaphyllus,2,13,0,0,152,2
Calamus_melanorhynchus,1,13,0,0,549,1
Calamus_merrillii,3,13,0,0,1533,3
Calamus_mesilauensis,6,13,0,0,1319,3
Calamus_metzianus,1,13,0,0,4257,1
Calamus_microcarpus,3,13,0,0,929,3
Calamus_microsphaerion,1,12,0,0,258,1
Calamus_minahassae,11,12,2,0,16371,9
Calamus_modestus,1,13,0,0,1446,1
Calamus_moti,45,50,0,5,18084,25
Calamus_muelleri,667,668,11,6,3501,44
Calamus_multinervis,2,13,0,0,113,2
Calamus_multisetosus,5,7,0,0,6561,4
Calamus_multispicatus,3,13,0,0,12750,3
Calamus_muricatus,33,34,2,2,5594,24
Calamus_myriacanthus,23,25,0,0,3934,20
Calamus_nambariensis,10,12,1,0,22704,9
Calamus_nanodendron,2,12,0,0,1621,2
Calamus_nematospadix,9,11,1,0,3468,7
Calamus_nielsenii,1,13,0,0,1227,1
Calamus_oligostachys,1,12,0,0,9468,1
